text,label
"In cold, dry weather, I get itchy red patches on my wrist.",Eczema
Lately I've had a dark brown spot on my forearm that comes with no real pain.,Melanoma
"When I sweat, a soft, dome-shaped mole that's been stable for as long as I can remember on my leg gets worse.",Melanocytic Nevi
"I have no real pain, just occasional bleeding after a minor bump, along with a pink bump with a sunken center near my elbow with fuzzy borders.",Basal Cell Carcinoma
Lately I've had a dark brown spot on my back that comes with no itching or pain at all.,Melanocytic Nevi
No discomfort whatsoever -- a rough patch on my scalp.,Melanocytic Nevi
"Something doesn't look right on my hands: a reddish-brown patch that gets worse in hot, humid weather with a well-defined ring-shaped border. crumbly and brittle on the nail.",Fungal Infections
"The skin on my shoulder shows a rough, sandpaper-like patch, and I've been dealing with mild irritation.",Benign Keratosis-like Lesions
"Something showed up on the back of my hands. It's red, inflamed areas with somewhat defined edges. dry and cracked to the touch. intense itching that wakes me up at night.",Atopic Dermatitis
It started as a growth that looks like it could be lifted off with a fingernail on my back. Now rough-feeling in that spot. it came on gradually.,Seborrheic Keratoses
"A shiny, pearly bump with tiny visible blood vessels running through it near my knee, mild itching.",Basal Cell Carcinoma
"Something showed up on my back. It's a mole with an asymmetrical, uneven shape -- one half doesn't match the other with irregular edges. rough and flaky. no significant pain.",Melanoma
"It started changing after a lot of sun exposure, a strange new sensation I never noticed before and a reddish mark on my shoulder appear.",Melanoma
"So on my leg there's a shiny, pearly bump with tiny visible blood vessels running through it, and mild irritation",Basal Cell Carcinoma
I developed a hereditary skin condition -- my sibling has it too on my forearm that comes with mild irritation.,Atopic Dermatitis
"There's thickened, leathery patches on my face with blurry borders that blend into surrounding skin. rough and thickened from scratching. mild irritation.",Atopic Dermatitis
"I'm noticing a raised, well-defined bump on the back of my knuckles.",Viral Infections
"There's a symmetric mole with a smooth, even border on my wrist with smooth, perfectly regular borders. rough and flaky. no real pain.",Melanocytic Nevi
A red patch showed up on my wrist and has been changing shape and color over the last few months,Melanoma
Plaques appearing exactly where my skin was scratched or injured showed up on my hands and it hasn't changed much,Psoriasis Lichen Planus
"I've been watching a growth that looks like it could be lifted off with a fingernail on my scalp and it hasn't changed much. no pain, just occasional mild itching if clothing rubs it.",Seborrheic Keratoses
"There's an inflamed patch on my feet with fuzzy borders, and flaky and thickened.",Atopic Dermatitis
A spot that's larger than a pencil eraser and keeps getting bigger on my forearm flares when I sweat.,Melanoma
"The skin on my leg shows a smooth, symmetric mole, and I've been dealing with no real pain.",Melanocytic Nevi
"I've noticed mild itching and there's a dry, crusty spot on a sun-damaged area that keeps peeling off and returning near my knee. with fuzzy borders. keeps coming back in the same spot after it peels off.",Benign Keratosis-like Lesions
"A round, well-defined growth on my shoulder. dry and scaly.",Seborrheic Keratoses
"I have a scaly, wart-like bump on my neck, and feels like it's sitting on top of the skin rather than growing from it.",Seborrheic Keratoses
"On my ears: a scaly, reddish-pink patch. it's been there for several weeks.",Benign Keratosis-like Lesions
I have a skin lesion on my chest with irregular edges.,Melanocytic Nevi
My skin on my feet has been off. a flat-topped warty bump that keeps multiplying. rough-feeling in that spot. mild itching.,Viral Infections
A rough patch on my hands flares when my clothes rub against it.,Benign Keratosis-like Lesions
"A rough, sandpaper-like patch that feels much rougher than it looks on my wrist. has been there for months without healing completely. occasional mild itching.",Benign Keratosis-like Lesions
"There's a flat, pink-red scaly patch with a gritty texture on my sun-exposed skin near my knee -- dry and scaly -- and no pain, just a rough texture I can feel.",Benign Keratosis-like Lesions
I'm noticing skin irritation triggered by a certain soap or fabric on my hands.,Eczema
"A rough, sandpaper-like patch on my feet. with fuzzy borders.",Benign Keratosis-like Lesions
Something's going on on my back. It's small rough bumps covering my upper arms and thighs. flaky and thickened. intense itching that wakes me up at night.,Atopic Dermatitis
The skin on my scalp has changed. There's a red patch now. dry and rough to the touch. it's been there for a while.,Benign Keratosis-like Lesions
"There's a pink growth with a slightly sunken, crater-like center on my leg, and occasional mild itching.",Basal Cell Carcinoma
"I've noticed occasional mild itching and there's a perfectly round, evenly colored brown spot that hasn't changed at all on my forearm. with fuzzy borders. stays exactly the same.",Melanocytic Nevi
"I have a raised, well-defined bump on my wrist with dry and scaly.",Viral Infections
"So I've got a flat, reddish, scaly patch near my elbow, with occasional mild itching",Basal Cell Carcinoma
"A rough patch appeared on my shoulder a while ago. with an indistinct, difficult-to-define edge. rough and flaky. it hasn't changed much.",Basal Cell Carcinoma
"There's a dry, crusty spot on a sun-damaged area that keeps peeling off and returning on my hands.",Benign Keratosis-like Lesions
"I'm concerned about thickened, leathery patches on my shoulder that has come and gone since childhood -- constant urge to scratch that never really goes away.",Atopic Dermatitis
"A small rough bump on my hands. with distinct, punched-out looking edges.",Viral Infections
"I have some mild discomfort, and there's scaly red patches on my feet.",Psoriasis Lichen Planus
There's a rough patch between my toes with somewhat defined edges. rough and flaky. occasional mild itching.,Fungal Infections
"Something's going on on my fingers. It's patches with blurry, ill-defined edges that spread gradually. feels crusty and dry. constant urge to scratch.",Eczema
"I noticed a waxy, scar-like flat patch with an indistinct border near my knee, along with no real pain, just occasional bleeding after a minor bump.",Basal Cell Carcinoma
"A cluster of small flesh-colored bumps on my arm, no real pain.",Viral Infections
Should I be worried about patches on the extensor surface -- the outside of my elbows and knees on my face? flaky and thickened. it showed up recently.,Psoriasis Lichen Planus
"I have some mild discomfort, along with a red patch on my shoulder with irregular edges.",Eczema
"I've noticed no significant pain and there's a rough, sandpaper-like patch that feels much rougher than it looks on my arm. with ill-defined, gradual borders. it came on gradually.",Benign Keratosis-like Lesions
"There's a red patch on my scalp, dry and scaly, not sure what it is",Basal Cell Carcinoma
A red patch on my neck. no significant pain.,Seborrheic Keratoses
I developed skin that breaks open and oozes when it flares on my neck that comes with mild itching.,Eczema
"I have no significant pain, along with patches on the extensor surface -- the outside of my elbows and knees on my forearm with very sharply defined, distinct edges.",Psoriasis Lichen Planus
Lately I've had a discolored spot on my cheek that comes with mild itching.,Basal Cell Carcinoma
Something's going on on my shoulder. It's pinpoint bleeding spots when the scale is removed. flaky and thickened. a stinging sensation where the skin cracks at the edges.,Psoriasis Lichen Planus
I have a red patch on my wrists. the skin there is leathery and thick. it's been there for several weeks. some mild discomfort.,Atopic Dermatitis
"A waxy, scar-like area on my forehead. with irregular edges.",Basal Cell Carcinoma
I noticed an inflamed patch on my neck. the skin there is thickened from years of scratching. it came on gradually.,Eczema
I noticed a rash that keeps expanding outward in a ring shape on my toenail. dry and scaly. it showed up recently.,Fungal Infections
"When my clothes rub against it, I get thick silvery-white scales that flake off in sheets on my shins.",Psoriasis Lichen Planus
"When I sweat, intense itching that gets worse at night and red, inflamed areas on my shoulder appear.",Eczema
I have a hereditary skin condition -- my sibling has it too near my elbow.,Atopic Dermatitis
The skin near my knee has changed. There's an inflamed patch now. rough-feeling in that spot. it came on gradually.,Viral Infections
Something's going on on my back. It's a rough patch. waxy and slightly greasy to the touch. no discomfort unless I scratch it.,Seborrheic Keratoses
There's thick red raised plaques on my neck -- rough and flaky -- and a stinging sensation where the skin cracks at the edges.,Psoriasis Lichen Planus
"There's a single-colored mole that looks exactly the same as it did years ago on my hands, and no discomfort whatsoever.",Melanocytic Nevi
"Got scaly, irritated skin on my face and has been a recurring problem since I was young",Atopic Dermatitis
"I noticed a dry patch on my bald scalp, along with some mild discomfort.",Benign Keratosis-like Lesions
Mild itching -- a scaly area on my neck.,Psoriasis Lichen Planus
"A raised, warty growth on my finger. with a rough, uneven surface and irregular edges.",Viral Infections
I've had some mild discomfort for a while now. There's a circular scaly rash on my chest with somewhat defined edges.,Fungal Infections
An inflamed patch showed up on my scalp a while back.,Basal Cell Carcinoma
An inflamed patch showed up near my elbow and keeps spreading into a small cluster,Viral Infections
"I'm not sure what patches with blurry, ill-defined edges that spread gradually on my wrist is -- rough and flaky and occasional mild itching.",Eczema
Something's going on on my scalp. It's a flat-topped warty bump that keeps multiplying. dry and rough to the touch. mild itching.,Viral Infections
"When I sweat, no real pain, but it bleeds a little sometimes and a mole with an asymmetrical, uneven shape -- one half doesn't match the other on my arm appear.",Melanoma
"There's a reddish mark on my hands with a well-defined ring-shaped border, and crumbly and brittle on the nail.",Fungal Infections
Thick silvery-white scales that flake off in sheets on my elbows and knees. no real pain.,Psoriasis Lichen Planus
"There's raw, inflamed skin on my chest with poorly defined borders that fade into normal skin. dry and scaly. no real pain.",Eczema
"Weird a discolored spot on my shoulder, hard and firm to the touch, no clue what it is",Viral Infections
"When the weather changes, mild irritation and a skin lesion on my scalp appear.",Atopic Dermatitis
I'm not sure what patches that ooze clear fluid when I scratch on my chest is -- rough-feeling in that spot and constant urge to scratch.,Eczema
"Got a thick, yellowed, crumbly nail that's lifting off the nail bed near my elbow and it's been there for a while",Fungal Infections
I've noticed small rough bumps covering my upper arms and thighs near my knee lately.,Atopic Dermatitis
"I have some mild discomfort, along with a shiny, pearly bump with tiny visible blood vessels running through it near my elbow with irregular edges.",Basal Cell Carcinoma
On my feet: a raised bump. it's been there for a while.,Atopic Dermatitis
"I have a waxy, 'stuck-on' looking growth that appears pasted onto the skin surface on my forearm with sharp, well-defined, stuck-on looking edges.",Seborrheic Keratoses
"There's a spot with jagged, notched, irregular borders on my feet -- flaky and thickened -- that it came on gradually.",Melanoma
There's a pigmented spot on my shoulder with irregular edges. flaky and thickened. no real pain.,Melanocytic Nevi
Something showed up on my forearm. It's a scaly spot that's tender when I rub it firmly with irregular edges. dry and rough to the touch. occasional mild itching.,Benign Keratosis-like Lesions
Something on my back looks like a cluster of small flesh-colored bumps and it showed up recently,Viral Infections
"I have mild itching, along with a skin lesion on my neck with irregular edges.",Fungal Infections
"I've been watching a spot with jagged, notched, irregular borders on my arm and it hasn't changed much. itching and occasional soreness around it.",Melanoma
"My skin near my knee has been off. a thin, thread-like skin tag growing on my eyelid. rough and irregular. no real pain.",Viral Infections
"I've been watching a dry, crusty spot on a sun-damaged area that keeps peeling off and returning on my ears and it's been there for a while. no real pain.",Benign Keratosis-like Lesions
A dry patch on my forearms flares when the weather changes.,Benign Keratosis-like Lesions
"Should I be worried about a spot with jagged, notched, irregular borders on my back? rough and flaky. has started bleeding and crusting on its own.",Melanoma
"Something showed up on my back. It's a discolored spot with clear, well-demarcated borders. covered in thick silvery scales. a stinging sensation where the skin cracks at the edges.",Psoriasis Lichen Planus
There's a dry patch on my feet -- rough and thickened from scratching -- and no real pain.,Atopic Dermatitis
"I've noticed mild itching and there's a small, round, evenly colored brown spot near my knee. with symmetric, clean borders. it's been there for a while.",Melanocytic Nevi
Tenderness when I press on it -- a scaly spot that's tender when I rub it firmly on my face.,Benign Keratosis-like Lesions
I notice mild itching when the weather changes. There's a scaly area on my forearm.,Benign Keratosis-like Lesions
There's a discolored spot on my chest.,Eczema
"A single-colored mole that looks exactly the same as it did years ago appeared on my stomach a while ago. with symmetric, clean borders. flaky and thickened. it hasn't changed much.",Melanocytic Nevi
An inflamed patch showed up on my chest a while back.,Viral Infections
Something on my leg looks like a scaly area and it showed up recently,Melanoma
"I noticed a flat, pink-red scaly patch with a gritty texture on my sun-exposed skin on my scalp. flaky and thickened. it showed up recently.",Benign Keratosis-like Lesions
"There's a flat, pink-red scaly patch with a gritty texture on my sun-exposed skin on my back, and no significant pain.",Benign Keratosis-like Lesions
"I have a bump that keeps bleeding even after a very minor bump or scrape on my nose, and waxy and scar-like.",Basal Cell Carcinoma
I've had a circular scaly rash near my knee for some time. rough-feeling in that spot. mild itching.,Fungal Infections
"I notice no real pain in cold, dry weather. There's a hereditary skin condition -- my sibling has it too on my back.",Atopic Dermatitis
"When the weather changes, mild irritation and a perfectly round, evenly colored brown spot that hasn't changed at all on my forearm appear.",Melanocytic Nevi
"When my clothes rub against it, no significant pain and a scaly area on my scalp appear.",Melanoma
"So on my leg there's sharply defined plaques with very clear, distinct edges, and mild itching",Psoriasis Lichen Planus
"No triggers -- it's been the same in all seasons, I get a pigmented spot on my stomach.",Melanocytic Nevi
Plaques appearing exactly where my skin was scratched or injured on my neck. it showed up recently. mild itching.,Psoriasis Lichen Planus
"Weird a thick, yellowed, crumbly nail that's lifting off the nail bed on my groin and inner thigh, rough and flaky, no clue what it is",Fungal Infections
"I have mild itching, and there's a discolored spot on my wrist.",Eczema
Patches that ooze and crust on my neck. dry and scaly.,Eczema
The skin on my wrist has changed. There's a rough patch now. rough and flaky. it came on gradually.,Atopic Dermatitis
"I'm worried about a mole with multiple colors -- brown, black, red, and even some pale areas near my knee because it hasn't changed much.",Melanoma
"There's a reddish-brown rash on my shoulder, and no real pain.",Fungal Infections
"I'm concerned about a waxy, 'stuck-on' looking growth that appears pasted onto the skin surface on my wrist that it came on gradually -- some mild discomfort.",Seborrheic Keratoses
"I developed a small, dry, crusty spot on my feet that comes with mild irritation.",Benign Keratosis-like Lesions
It started as a raised bump on my cheek. Now dry and scaly. it showed up recently.,Basal Cell Carcinoma
I'm worried about small rough bumps covering my upper arms and thighs on my feet because it's been there for several weeks.,Atopic Dermatitis
"I have a plantar wart on my heel that hurts when I walk on my scalp, and hard and firm to the touch.",Viral Infections
"I have a reddish-brown patch that gets worse in hot, humid weather on my face with rough-feeling in that spot.",Fungal Infections
There's skin that breaks open and oozes when it flares on my face.,Eczema
There's a hereditary skin condition -- my sibling has it too on my cheeks -- feels dry and scaly to the touch -- and constant urge to scratch that never really goes away.,Atopic Dermatitis
"After I cut myself shaving near the area, a hard lump with visible black specks that look like seeds on my shoulder gets worse.",Viral Infections
"There's a small, dry, crusty spot on my lower lip.",Benign Keratosis-like Lesions
Something doesn't look right on my face: a tan to dark brown growth that looks thicker and greasier than a normal mole with irregular edges. rough and flaky.,Seborrheic Keratoses
I'm worried about a dry patch on my finger because has stayed about the same size for weeks.,Viral Infections
"There's skin prone to frequent infections from all the scratching on my shoulder, and itching so bad it keeps me awake.",Atopic Dermatitis
Something's going on on my scalp. It's a growth that looks like it could be lifted off with a fingernail. rough and flaky. no significant pain.,Seborrheic Keratoses
I've had thick silvery-white scales that flake off in sheets on my arms for some time. flaky and rough. occasional mild soreness.,Psoriasis Lichen Planus
Small fluid-filled bumps on my forearm. with irregular edges.,Eczema
"I've had mild irritation for a while now. There's a spot with jagged, notched, irregular borders on my shoulder with irregular, notched, uneven borders.",Melanoma
"When I use scented products, a dry patch near my knee gets worse.",Atopic Dermatitis
"A scaly area on my back, mild itching, been there ages",Benign Keratosis-like Lesions
Patches on the extensor surface -- the outside of my elbows and knees on my neck flares after a skin injury or scratch.,Psoriasis Lichen Planus
I notice mild irritation when the weather changes. There's a reddish mark on my face.,Benign Keratosis-like Lesions
"When I sweat, itching and occasional soreness around it and a rough patch on my back appear.",Melanoma
A rash that keeps expanding outward in a ring shape showed up near my knee a while back.,Fungal Infections
A slightly raised rough patch that bleeds lightly when I scratch it on my forearm. occasional itching.,Benign Keratosis-like Lesions
"A raised, well-defined bump appeared on my trunk a while ago. with a clearly defined, elevated border. waxy and slightly greasy to the touch. it hasn't changed much.",Seborrheic Keratoses
A mole that has been visibly growing and changing over the past few months near my knee. mild itching.,Melanoma
"Raw, inflamed skin on my face, mild itching, been there ages",Eczema
Something showed up on my back. It's a red patch with irregular edges. rough-feeling in that spot. occasional mild itching.,Fungal Infections
There's a mole that has been visibly growing and changing over the past few months on my wrist with irregular edges. rough-feeling in that spot. some mild discomfort.,Melanoma
Should I be worried about a red patch on the back of my knuckles? rough-feeling in that spot. it hasn't changed much.,Viral Infections
"I've had a shiny, pearly bump with tiny visible blood vessels running through it on my cheek for a while, with no significant pain.",Basal Cell Carcinoma
Pinpoint bleeding spots when the scale is removed on my scalp. itching that can get severe.,Psoriasis Lichen Planus
"I have some mild discomfort, along with a red patch on my arm with a rolled, slightly raised outer edge.",Basal Cell Carcinoma
"There's a discolored spot on my hands with fuzzy borders, and flaky and thickened.",Melanoma
"There's a rough-surfaced growth on my wrist, dry and rough to the touch, not sure what it is",Seborrheic Keratoses
On my shoulder: a skin lesion. grew slowly over several months.,Viral Infections
"There's a small, round, evenly colored brown spot on my back with irregular edges, and rough and flaky.",Melanocytic Nevi
"I'm worried about a pink growth with a slightly sunken, crater-like center on my chest because the scab keeps falling off and the raw area underneath comes back.",Basal Cell Carcinoma
"Should I be worried about a hard, rough-surfaced growth on my wrist? smooth with a central dimple. it showed up recently.",Viral Infections
"Blistering skin that bursts and leaves raw, wet patches on my face, severe itching I can barely control.",Eczema
I've noticed a red patch near my knee lately.,Seborrheic Keratoses
"I have a pink growth with a slightly sunken, crater-like center on my scalp with a rolled, slightly raised outer edge.",Basal Cell Carcinoma
A red patch showed up near my elbow a while back.,Seborrheic Keratoses
It started as a skin lesion on my forearms. Now rough-feeling in that spot. the crust falls off and then regrows.,Benign Keratosis-like Lesions
It started as a dry patch on my back. Now flaky and thickened. it showed up recently.,Benign Keratosis-like Lesions
I'm worried about a cluster of small flesh-colored bumps on my shoulder because it's been there for several weeks.,Viral Infections
I'm noticing small rough bumps covering my upper arms and thighs on my hands.,Atopic Dermatitis
"I have a rough, sandpaper-like patch that feels much rougher than it looks near my elbow. rough and flaky. has been there for months without healing completely. tenderness when I press on it.",Benign Keratosis-like Lesions
"There's a waxy, stuck-on looking growth on my feet with irregular edges. dry and scaly. mild itching.",Seborrheic Keratoses
"A thick, yellowed, crumbly nail that's lifting off the nail bed on my torso, mild itching.",Fungal Infections
"So on my nose there's a raised bump, and no discomfort, it just won't go away",Basal Cell Carcinoma
My skin on my wrists is doing something weird -- bumps with a fine white lacy pattern on the surface,Psoriasis Lichen Planus
A reddish mark on my face. with irregular edges.,Fungal Infections
"I have a scaly area on my wrist, and dry and rough to the touch.",Atopic Dermatitis
"After I cut myself shaving near the area, a hard lump with visible black specks that look like seeds on my wrist gets worse.",Viral Infections
"A raised, well-defined bump on my neck, mild itching, been there ages",Viral Infections
"When my clothes rub against it, mild itching and itchy red patches on my wrist appear.",Eczema
Should I be worried about a slightly raised rough patch that bleeds lightly when I scratch it on my bald scalp? dry and scaly. it's been there for several weeks.,Benign Keratosis-like Lesions
"Tenderness when I press on it -- a rough, sandpaper-like patch on my back.",Benign Keratosis-like Lesions
"I'm noticing a mole with an asymmetrical, uneven shape -- one half doesn't match the other on my hands.",Melanoma
"Got a thin, thread-like skin tag growing on my eyelid on my feet and it's been there for a while",Viral Infections
"I noticed a reddish mark on my chest, along with itching that can get severe.",Psoriasis Lichen Planus
I've been watching patches on the extensor surface -- the outside of my elbows and knees on my hands and it's been there for several weeks. mild irritation.,Psoriasis Lichen Planus
"I noticed a flat, pink-red scaly patch with a gritty texture on my sun-exposed skin on my neck, along with some mild discomfort.",Benign Keratosis-like Lesions
There's a plantar wart on my heel that hurts when I walk on the back of my knuckles.,Viral Infections
A plantar wart on my heel that hurts when I walk on my arm. it came on gradually. mild irritation.,Viral Infections
"A mole with multiple colors -- brown, black, red, and even some pale areas on my forearm. no significant pain.",Melanoma
My skin on my neck has been off. a skin lesion. dry and rough to the touch. mild itching.,Melanoma
I've had patches on the extensor surface -- the outside of my elbows and knees inside my mouth for some time. dry and rough to the touch. a stinging sensation where the skin cracks at the edges.,Psoriasis Lichen Planus
It started as red to brownish-gray patches on my wrist. Now rough and flaky. it hasn't changed much.,Eczema
"When my clothes rub against it, I get a bump that keeps bleeding even after a very minor bump or scrape on my feet.",Basal Cell Carcinoma
Something's going on on my arm. It's a red patch. rough and flaky. occasional mild itching.,Melanoma
"I have no real pain, along with an inflamed patch on my scalp with somewhat defined edges.",Psoriasis Lichen Planus
Got a discolored spot on my wrists and it's been there for a while,Psoriasis Lichen Planus
"Got a scaly, reddish-pink patch near my knee and it showed up recently",Benign Keratosis-like Lesions
I noticed a rough patch on the back of my knuckles. rough-feeling in that spot. it came on gradually.,Viral Infections
I've had a red patch on my forearm that it showed up recently.,Viral Infections
The skin near my knee has changed. There's a skin lesion now. the skin there is leathery and thick. it showed up recently.,Atopic Dermatitis
"I have thickened, leathery patches on my hands with indistinct, gradually fading edges.",Atopic Dermatitis
I'm noticing a rough patch on my hands.,Benign Keratosis-like Lesions
"There's a skin lesion on my arm with somewhat defined edges, and rough and flaky.",Viral Infections
I've noticed bumps with a fine white lacy pattern on the surface on my scalp lately.,Psoriasis Lichen Planus
There's skin prone to frequent infections from all the scratching on my wrists with irregular edges. dry and scaly. some mild discomfort.,Atopic Dermatitis
A rough patch on my leg. dry and scaly.,Fungal Infections
"The skin on my shoulder shows scaly red patches, and I've been dealing with occasional mild itching.",Psoriasis Lichen Planus
"I noticed sharply defined plaques with very clear, distinct edges on my neck. flaky and thickened. it's been there for a while.",Psoriasis Lichen Planus
There's a cluster of small flesh-colored bumps on my hands -- dry and scaly -- and no significant pain.,Viral Infections
I have a dark brown spot on my wrist. rough-feeling in that spot. it came on gradually. no significant pain.,Melanocytic Nevi
"When I sweat, I get sharply defined, scaly plaques on my lower back.",Psoriasis Lichen Planus
My skin on my back is doing something weird -- a skin lesion,Benign Keratosis-like Lesions
"I have no discomfort whatsoever, and there's a perfectly round, evenly colored brown spot that hasn't changed at all on my shoulder.",Melanocytic Nevi
"I have a flat, tan-colored mark on my face, and rough and flaky.",Melanocytic Nevi
"So on my forearm there's an itch that triggers before any visible rash appears, and no significant pain",Atopic Dermatitis
There's a reddish mark near my elbow -- slightly raised and uneven -- and some mild discomfort.,Melanoma
I've had thick red raised plaques on my feet for some time. rough and flaky. mild irritation.,Psoriasis Lichen Planus
"I have a waxy, 'stuck-on' looking growth that appears pasted onto the skin surface on my chest, and flaky and thickened.",Seborrheic Keratoses
"There's red, inflamed areas on the folds of my elbows and knees with poorly defined edges. dry and rough to the touch. some mild discomfort.",Atopic Dermatitis
I've got a dry patch near my elbow.,Seborrheic Keratoses
"My skin on my back has been off. a flat, pink-red scaly patch with a gritty texture on my sun-exposed skin. dry and scaly. mild irritation.",Benign Keratosis-like Lesions
"I have no real pain, along with thick red raised plaques on my chest with precise, punched-out looking borders.",Psoriasis Lichen Planus
"Dry, scaly skin on my chest. with clear, well-demarcated borders.",Psoriasis Lichen Planus
"I noticed a scaly, wart-like bump on my neck, along with no significant pain.",Seborrheic Keratoses
The skin on my wrist has changed. There's a scaly area now. dry and rough to the touch. it's been there for several weeks.,Fungal Infections
Got a raised bump on my chest and it came on gradually,Melanoma
"When the weather changes, mild irritation and a dry, crusty spot on a sun-damaged area that keeps peeling off and returning on my chest appear.",Benign Keratosis-like Lesions
"There's a patch near my knee. It looks like athlete's foot causing cracked, peeling, white skin between my toes. rough and flaky. it came on gradually.",Fungal Infections
I'm noticing a rough patch on my back.,Seborrheic Keratoses
I've noticed a skin lesion on my leg lately.,Melanocytic Nevi
I've had mild itching for a while now. There's a raised bump near my elbow with fuzzy borders.,Melanocytic Nevi
"Got a flat, pink-red scaly patch with a gritty texture on my sun-exposed skin on my leg, dry and scaly",Benign Keratosis-like Lesions
"Raw, weeping patches that crust over as they heal on my wrist. with no sharp edge, just gradually redder skin.",Eczema
"Something's going on on my arm. It's a mole with an asymmetrical, uneven shape -- one half doesn't match the other. flaky and thickened. no real pain, but it bleeds a little sometimes.",Melanoma
"A small, round, evenly colored brown spot appeared on my shoulder a while ago. with irregular edges. smooth and flat against my skin. has been there since I was a kid and never changed.",Melanocytic Nevi
I've had a discolored spot on my forearm that it hasn't changed much.,Basal Cell Carcinoma
A hard lump with visible black specks that look like seeds on my shoulder. mild irritation.,Viral Infections
"A warty, barnacle-like bump with a rough, pitted surface on my face. it hasn't changed much. occasional mild itching.",Seborrheic Keratoses
"Athlete's foot causing cracked, peeling, white skin between my toes appeared near my knee a while ago. with a clearly raised, scaly outer edge. crumbly and brittle on the nail. spread from one foot to the other.",Fungal Infections
"There's a mole that started bleeding on its own without any injury on my back, and occasional mild itching.",Melanoma
"There's a reddish mark on my forearm with sharp, well-defined, stuck-on looking edges. rough and flaky. no pain, just occasional mild itching if clothing rubs it.",Seborrheic Keratoses
